순위,기관명,목록명 ,대표확장자
1,한국고전번역원,한국고전번역원_한국문집총간,xml
2,한국국제협력단,한국국제협력단_국별 개발협력동향,csv
3,공공데이터활용지원센터,공공데이터활용지원센터_공공데이터포털 목록개방현황,csv
4,한국데이터산업진흥원,한국데이터산업진흥원_데이터바우처 사업관리 가공기업 정보,csv
5,국가철도공단,국가철도공단_철도 기술정보,csv
6,한국방송통신전파진흥원,한국방송통신전파진흥원_전파누리_최신뉴스,csv
7,한국행정연구원,한국행정연구원 설문조사 데이터 현황,csv
8,한국저작권위원회,한국저작권위원회_공유마당 저작물 태그 목록,csv
9,경상남도 거제시,경상남도 거제시_도서관 신간도서정보,csv
10,소방청,소방청_다중이용업소 영업장별 고유 일련번호,csv
11,한국지식재산연구원,한국지식재산연구원_지식재산전문도서관DB_서지정보,csv
12,국민연금공단,국민연금공단_국민연금 가입 사업장 내역,csv
13,한국고전번역원,한국고전번역원_고전원문,xml
14,한국법제연구원,한국법제연구원_법령용어 정보,csv
15,한국보건산업진흥원,한국보건산업진흥원_외국인환자 유치기관 현황,csv
16,경기도 성남시,경기도 성남시_성남 미디어센터 DVD정보,csv
17,건설근로자공제회,건설근로자공제회_퇴직공제 가입사업장 정보,csv
18,소상공인시장진흥공단,소상공인시장진흥공단_종이상품권가맹점,csv
19,공공데이터활용지원센터,전국주차장정보표준데이터,xml
20,국토교통부,국토교통부_용어사전,csv
