순위,제공기관,파일데이터 목록명,확장자
1,한국고전번역원,한국고전번역원_한국문집총간,csv
2,소상공인시장진흥공단,소상공인시장진흥공단_상가(상권)정보,csv
3,공공데이터활용지원센터,전국주차장정보표준데이터,xml
4,한국고전번역원,한국고전번역원_고전원문,xml
5,공공데이터활용지원센터,전국평생학습강좌표준데이터,xml
6,공공데이터활용지원센터,전국자동차정비업체표준데이터,xml
7,한국국제협력단,한국국제협력단_국별 개발협력동향,csv
8,공공데이터활용지원센터,전국종량제봉투가격표준데이터,xml
9,공공데이터활용지원센터,공공데이터활용지원센터_공공데이터포털 목록개방현황,csv
10,한국행정연구원,한국행정연구원 설문조사 데이터 현황,hwp
11,국민건강보험공단,국민건강보험공단_건강검진정보,csv
12,국민연금공단,국민연금공단_국민연금 가입 사업장 내역,csv
13,공공데이터활용지원센터,전국도시공원정보표준데이터,xml
14,인천광역시,인천광역시_도로 내 IMU 센서,csv
15,한국데이터산업진흥원,한국데이터산업진흥원_데이터바우처 사업관리 가공기업 정보,csv
16,공공데이터활용지원센터,전국공공시설개방정보표준데이터,xml
17,공공데이터활용지원센터,전국어린이보호구역표준데이터,xml
18,공공데이터활용지원센터,전국공연행사정보표준데이터,xml
19,공공데이터활용지원센터,전국문화축제표준데이터,xml
20,경기도 성남시,경기도 성남시_성남 미디어센터 DVD정보,csv
