순위,기관명,목록명,서비스유형
1,국토교통부,국토교통부_연속지적도,LINK
2,한국수출입은행,한국수출입은행 환율 정보,LINK
3,기상청,기상청_단기예보 조회서비스,REST
4,한국환경공단,한국환경공단_에어코리아_대기오염정보,REST
5,국토교통부,국토교통부_시군구,LINK
6,국토교통부,국토교통부_자동차종합정보 API서비스,LINK
7,한국천문연구원,한국천문연구원_특일 정보,REST
8,행정안전부,행정안전부_실시간 주소정보 조회(검색API),LINK
9,국토교통부,국토교통부_교통CCTV,LINK
10,국세청,국세청_사업자등록정보 진위확인 및 상태조회 서비스,REST
11,서울특별시,서울특별시_지하철 실시간 도착정보,LINK
12,국토교통부,국토교통부_CCTV 화상자료,LINK
13,한국관광공사,한국관광공사_국문 관광정보 서비스_GW,REST
14,식품의약품안전처,식품의약품안전처_조리식품의 레시피 DB,LINK
15,국토교통부,국토교통부_지오코더 API,LINK
16,성평등가족부,성평등가족부_성범죄자 지역별 통계,LINK
17,영화진흥위원회,영화진흥위원회_영화정보 DB,LINK
18,서울특별시,서울특별시_지하철 실시간 열차 위치정보,LINK
19,서울특별시,서울특별시_노선정보조회 서비스,REST
20,서울특별시,서울특별시_버스위치정보조회 서비스,REST
